customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
AA-10315,185,5,5090484.0,2,2,5,225,Lost Customers
AA-10375,20,9,165678.0,5,5,1,551,Loyal Customers
AA-10480,260,4,193048.0,1,1,1,111,Lost Customers
AA-10645,56,6,1737756.0,3,3,4,334,Potential Loyalist
AB-10015,416,3,143818.0,1,1,1,111,Lost Customers
AB-10060,55,8,5110574.0,3,4,5,345,Potential Loyalist
AB-10105,42,10,2898788.0,4,5,5,455,Champions
AB-10150,42,5,280163.0,4,2,2,422,Loyal Customers
AB-10165,26,8,397663.0,5,4,2,542,Loyal Customers
AB-10255,167,9,583602.0,2,5,2,252,At Risk
AB-10600,51,4,1494514.0,4,1,4,414,Recent Customers
AC-10420,233,3,779856.0,1,1,3,113,Lost Customers
AC-10450,12,7,1285192.0,5,3,4,534,Loyal Customers
AC-10615,7,5,625708.0,5,2,2,522,Loyal Customers
AC-10660,283,5,625024.0,1,2,2,122,Lost Customers
AD-10180,30,8,1197155.0,4,4,4,444,Loyal Customers
AF-10870,42,7,680012.0,4,3,3,433,Loyal Customers
AF-10885,416,4,493735.0,1,1,2,112,Lost Customers
AG-10270,279,5,226563.0,1,2,1,121,Lost Customers
AG-10300,119,4,53214.0,2,1,1,211,Lost Customers
AG-10330,9,5,77502.0,5,2,1,521,Loyal Customers
AG-10390,115,5,52508.0,2,2,1,221,Lost Customers
AG-10495,79,8,1210894.0,3,4,4,344,Potential Loyalist
AG-10525,846,4,749681.0,1,1,3,113,Lost Customers
AG-10675,98,7,24906012.0,3,3,5,335,Potential Loyalist
AG-10765,78,4,48949.0,3,1,1,311,Recent Customers
AG-10900,97,10,2476212.0,3,5,5,355,Potential Loyalist
AH-10030,13,7,464630.0,5,3,2,532,Loyal Customers
AH-10075,35,10,2343506.0,4,5,5,455,Champions
AH-10120,61,7,559349.0,3,3,2,332,Potential Loyalist
AH-10195,56,4,707693.0,3,1,3,313,Recent Customers
AH-10210,7,9,476065.0,5,5,2,552,Loyal Customers
AH-10465,231,5,13672749.0,1,2,5,125,Lost Customers
AH-10585,22,4,85050.0,5,1,1,511,Recent Customers
AH-10690,411,12,2616481.0,1,5,5,155,At Risk
AI-10855,14,10,729058.0,5,5,3,553,Loyal Customers
AJ-10780,76,7,2037924.0,3,3,5,335,Potential Loyalist
AJ-10795,167,7,2608313.0,2,3,5,235,At Risk
AJ-10945,86,7,201123.0,3,3,1,331,Potential Loyalist
AJ-10960,75,3,94828.0,3,1,1,311,Recent Customers
AM-10360,29,5,216034.0,4,2,1,421,Loyal Customers
AM-10705,163,8,742669.0,2,4,3,243,At Risk
AO-10810,502,1,16128.0,1,1,1,111,Lost Customers
AP-10720,42,8,1033196.0,4,4,3,443,Loyal Customers
AP-10915,99,10,1015605.0,3,5,3,353,Potential Loyalist
AR-10345,112,4,957954.0,2,1,3,213,Lost Customers
AR-10405,126,5,1780827.0,2,2,4,224,Lost Customers
AR-10510,15,5,120711.0,5,2,1,521,Loyal Customers
AR-10540,7,6,1236816.0,5,3,4,534,Loyal Customers
AR-10570,535,1,5539.0,1,1,1,111,Lost Customers
AR-10825,59,8,2959055.0,3,4,5,345,Potential Loyalist
AS-10045,89,7,2257567.0,3,3,5,335,Potential Loyalist
AS-10090,29,9,1970668.0,4,5,4,454,Champions
AS-10135,42,2,5882.0,4,1,1,411,Recent Customers
AS-10225,23,5,450796.0,5,2,2,522,Loyal Customers
AS-10240,193,7,501871.0,2,3,2,232,At Risk
AS-10285,20,6,568434.0,5,3,2,532,Loyal Customers
AS-10630,93,7,271051.0,3,3,2,332,Potential Loyalist
AT-10435,22,6,913433.0,5,3,3,533,Loyal Customers
AT-10735,14,10,622239.0,5,5,2,552,Loyal Customers
AW-10840,21,4,255428.0,5,1,1,511,Recent Customers
AW-10930,47,7,1469542.0,4,3,4,434,Loyal Customers
AY-10555,15,4,278071.0,5,1,2,512,Recent Customers
AZ-10750,161,6,1350182.0,2,3,4,234,At Risk
BB-10990,106,5,438232.0,2,2,2,222,Lost Customers
BB-11545,29,9,1728860.0,4,5,4,454,Champions
BC-11125,203,9,2154546.0,2,5,5,255,At Risk
BD-11320,34,12,2408861.0,4,5,5,455,Champions
BD-11500,36,6,1032319.0,4,3,3,433,Loyal Customers
BD-11560,279,2,32054.0,1,1,1,111,Lost Customers
BD-11605,98,7,1164840.0,3,3,4,334,Potential Loyalist
BD-11620,70,6,1014247.0,3,3,3,333,Potential Loyalist
BD-11635,10,3,178501.0,5,1,1,511,Recent Customers
BD-11725,94,6,152650.0,3,3,1,331,Potential Loyalist
BD-11770,328,6,449045.0,1,3,2,132,At Risk
BE-11335,120,5,322337.0,2,2,2,222,Lost Customers
BE-11410,99,5,495179.0,3,2,2,322,Potential Loyalist
BE-11455,255,6,1143075.0,1,3,3,133,At Risk
BF-10975,92,7,208991.0,3,3,1,331,Potential Loyalist
BF-11005,40,4,959813.0,4,1,3,413,Recent Customers
BF-11020,75,8,1589977.0,3,4,4,344,Potential Loyalist
BF-11080,26,3,21760.0,5,1,1,511,Recent Customers
BF-11170,17,11,2787105.0,5,5,5,555,Champions
BF-11215,66,4,327061.0,3,1,2,312,Recent Customers
BF-11275,58,3,754271.0,3,1,3,313,Recent Customers
BG-11035,29,8,1992242.0,4,4,4,444,Loyal Customers
BG-11695,37,6,1742592.0,4,3,4,434,Loyal Customers
BG-11740,58,6,611274.0,3,3,2,332,Potential Loyalist
